title,price
"Soundfall (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Ghostwire: Tokyo (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 829,000"
"Tom Clancy’s Rainbow Six Extraction PS4 & PS5 (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 515,000"
The Evil Within (Chinese Ver.),"Rp 319,000"
Wolfenstein: The Old Blood (English),"Rp 257,000"
"Bassmaster® Fishing PS4™ and PS5™ (Simplified Chinese, English, Japanese)","Rp 579,000"
"Life is Strange: True Colors PS4 & PS5 (Simplified Chinese, English, Japanese)","Rp 879,000"
"The Quarry for PS4™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 859,000"
"The Quarry for PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 999,000"
"Returnal™ (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 1,029,000"
"Demon's Souls (Simplified Chinese, English, Korean, Thai, Traditional Chinese)","Rp 432,180"
"Assassin's Creed Chronicles - China (English, Korean, Traditional Chinese)","Rp 41,600"
"Assassin's Creed Chronicles - India (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 41,600"
Middle-earth™: Shadow of Mordor™ (English/Chinese/Korean Ver.),Included
MEGA DIMENSION NEPTUNE VII (Japanese Ver.),"Rp 638,000"
Ryu Ga Gotoku 7: Hikari To Yami No Yukue (Chinese/Japanese Ver.),"Rp 271,320"
"The Dark Pictures Anthology: Little Hope PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 119,600"
ODDWORLD: NEW 'N' TASTY full game (English Ver.),"Rp 364,000"
"What Remains of Edith Finch (Simplified Chinese, English, Korean, Japanese)","Rp 69,750"
"Mortal Shell (Simplified Chinese, English, Korean, Japanese)","Rp 429,000"
"Outer Wilds (Simplified Chinese, English, Korean, Japanese)","Rp 209,400"
"SCARLET NEXUS PS4 & PS5 (English, Japanese)","Rp 187,250"
"Borderlands 3 PS4™ &  PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 890,000"
"Sackboy: A Big Adventure PS4 & PS5 (English, Korean, Traditional Chinese)","Rp 879,000"
